candidate_id,label,reviewer,status,notes
candidate-0001,51F20754,visual-manual,accepted,all characters unambiguous
candidate-0002,61A22959,visual-manual,accepted,all characters unambiguous
candidate-0003,51F75326,visual-manual,accepted,all characters unambiguous
candidate-0004,51A01204,visual-manual,accepted,all characters unambiguous
candidate-0005,56S4698,visual-manual,accepted,all characters unambiguous
candidate-0006,51G39466,visual-manual,accepted,all characters unambiguous
candidate-0007,51G37675,visual-manual,accepted,all characters unambiguous
candidate-0008,51G51008,visual-manual,accepted,all characters unambiguous
candidate-0010,51F04275,visual-manual,accepted,all characters unambiguous
candidate-0011,51F04275,visual-manual,accepted,all characters unambiguous
candidate-0013,51F24403,visual-manual,accepted,all characters unambiguous
candidate-0016,51F20754,visual-manual,accepted,all characters unambiguous
candidate-0017,61A39534,visual-manual,accepted,all characters unambiguous
candidate-0018,51B21666,visual-manual,accepted,all characters unambiguous
candidate-0019,61A22959,visual-manual,accepted,all characters unambiguous
candidate-0020,61A22959,visual-manual,accepted,all characters unambiguous
candidate-0021,51F24403,visual-manual,accepted,all characters unambiguous
candidate-0022,51F24403,visual-manual,accepted,all characters unambiguous
candidate-0024,51F24403,visual-manual,accepted,all characters unambiguous
candidate-0026,80NG37618,visual-manual,accepted,all characters unambiguous including red diplomatic series
candidate-0027,51A96141,visual-manual,accepted,all characters unambiguous
candidate-0029,51F24403,visual-manual,accepted,all characters unambiguous
candidate-0031,51A85325,visual-manual,accepted,all characters unambiguous
candidate-0035,51F04275,visual-manual,accepted,all characters unambiguous
candidate-0036,51F59881,visual-manual,accepted,all characters unambiguous
candidate-0037,51F59881,visual-manual,accepted,all characters unambiguous
candidate-0039,51F69259,visual-manual,accepted,all characters unambiguous
candidate-0041,51G51008,visual-manual,accepted,all characters unambiguous
candidate-0044,51F59881,visual-manual,accepted,all characters unambiguous
candidate-0046,48A02866,visual-manual,accepted,all characters unambiguous
candidate-0048,51G49160,visual-manual,accepted,all characters unambiguous
candidate-0049,29A23950,visual-manual,accepted,all characters unambiguous
candidate-0054,51F20754,visual-manual,accepted,all characters unambiguous
candidate-0055,51A65474,visual-manual,accepted,all characters unambiguous
candidate-0056,51F44614,visual-manual,accepted,all characters unambiguous
candidate-0057,61A22959,visual-manual,accepted,all characters unambiguous
candidate-0058,51F22029,visual-manual,accepted,all characters unambiguous
candidate-0059,51F04275,visual-manual,accepted,all characters unambiguous
candidate-0061,51G51008,visual-manual,accepted,all characters unambiguous
candidate-0062,51A01204,visual-manual,accepted,all characters unambiguous
candidate-0063,51A96141,visual-manual,accepted,all characters unambiguous
candidate-0064,30V3993,visual-manual,accepted,all characters unambiguous
candidate-0065,30V3993,visual-manual,accepted,all characters unambiguous
candidate-0069,51F24403,visual-manual,accepted,all characters unambiguous
candidate-0072,51F59881,visual-manual,accepted,all characters unambiguous
candidate-0073,51F59881,visual-manual,accepted,all characters unambiguous
candidate-0074,51G21670,visual-manual,accepted,all characters unambiguous
candidate-0076,51A90905,visual-manual,accepted,all characters unambiguous
candidate-0077,51A72078,visual-manual,accepted,all characters unambiguous
candidate-0081,56S4698,visual-manual,accepted,all characters unambiguous
candidate-0082,51A77529,visual-manual,accepted,all characters unambiguous
candidate-0083,51A64826,visual-manual,accepted,all characters unambiguous
candidate-0089,51A96141,visual-manual,accepted,all characters unambiguous
candidate-0092,51F06948,visual-manual,accepted,all characters unambiguous
candidate-0094,51F24403,visual-manual,accepted,all characters unambiguous
candidate-0097,61A22959,visual-manual,accepted,all characters unambiguous
candidate-0098,51A85325,visual-manual,accepted,all characters unambiguous
candidate-0099,51F24403,visual-manual,accepted,all characters unambiguous
